[CITROEN]
Roulement de roue (avant),17,8,17,8,17,3,3,14,3,3,17
Sonde lambda (NOx),2,7,7,7,7,7,7,7,7,2,9
Tendeur de courroie de distribution,10,37,37,37,10,10,10,10,10,16,16
Thermostat,14,14,14,14,14,14,14,14,14,6,20
Turbo,,4,4,4,4,4,4,4,4,7,4

[DACIA]
Part,Duster SUV,Logan II Berline (L8),Logan II Berline (L8) TCe 90 CV Essence 2012 - ... H4B 400,Logan III Berline (DJF),Logan LS,Logan MCV 2,Sandero III (BJI),Sandero Phase 2,"Sandero Phase 2 TCe (B8M1, B8MA) 90 CV Essence 2012 - ... H4B 400",Sandero SD
Alternateur,17,23,7,,23,7,10,7,10,11
Amortisseur (arrière),,16,15,5,15,13,17,19,10,15
Amortisseur (avant),13,13,10,12,12,15,11,12,12,31
Biellette de barre stabilisatrice,,14,14,,14,14,14,14,14,14
Bobine d'allumage,8,5,5,,8,8,5,8,5,8
Bougie,7,25,8,6,7,16,7,17,12,28
Bougie de préchauffage,7,17,9,,7,17,9,23,9,18
Disque de frein (arrière),,,,,,,6,4,3,20
Disque de frein (avant),4,78,33,15,24,47,33,52,8,54
Démarreur,19,14,14,,34,14,14,24,10,57
Filtre d'habitacle,32,53,38,22,17,43,37,38,40,38
Filtre à air,13,47,19,17,13,29,28,35,19,32
Filtre à carburant,20,51,14,,20,47,20,49,17,37
Filtre à huile,11,57,23,22,16,56,35,36,23,41
Injecteur,4,4,4,,4,4,7,7,7,7
Joint de culasse,11,11,11,,13,11,11,11,11,11
Kit chaîne de distribution,14,3,3,,9,3,3,3,4,9
Kit d'embrayage,34,22,12,15,43,21,9,15,12,12
Kit de courroie d'accessoire,4,23,13,4,16,24,8,14,13,23
Plaquette de frein (arrière),,,,,,,,,,30
Plaquette de frein (avant),26,48,24,15,36,42,21,48,24,38
Pompe à eau,42,15,15,,47,15,15,15,15,15
Radiateur,,4,4,,10,10,4,10,4,10
Rotule de direction,19,33,33,3,4,33,36,38,39,49
Roulement de roue (arrière),14,14,14,,19,14,,14,,14
Roulement de roue (avant),16,24,24,,42,24,24,32,24,57
Sonde lambda (NOx),2,2,2,,2,2,2,2,2,2
Tendeur de courroie de distribution,24,24,24,,42,24,24,24,24,24
Thermostat,10,17,20,,38,23,25,16,20,35
Turbo,14,14,14,,14,14,14,14,14,14

[FIAT]
Part,Doblo II Van / Break (263),Doblo III Van (K9) BlueHDi 130 131 CV Diesel 2022 - ... DV5RC,Doblo III Van (K9) E-Doblo 136 CV Électrique 2022 - ... ZKX (ZK01),Fiorino 3,Fiorino Pick-up 147,Punto 188,Punto mk3 199
Alternateur,14,8,10,12,,10,10
Amortisseur (arrière),,,,,1,,
Amortisseur (avant),23,9,25,4,5,,10
Bobine d'allumage,5,5,5,5,,5,5
Bougie,5,5,5,,10,,
Disque de frein (arrière),,,,13,13,,
Disque de frein (avant),4,4,4,13,13,,
Démarreur,28,5,5,4,,23,10
Filtre d'habitacle,7,7,7,,,,7
Filtre à air,,,,8,20,,
Filtre à carburant,27,27,27,27,41,47,41
Filtre à huile,11,11,11,14,31,14,14
Kit chaîne de distribution,,4,4,7,,,
Kit d'embrayage,35,4,15,22,7,37,25
Kit de courroie d'accessoire,,,,6,,,
Plaquette de frein (arrière),,,,6,6,18,14
Plaquette de frein (avant),57,39,39,14,14,10,18
Pompe à eau,4,13,13,48,,10,
Rotule de direction,10,49,49,24,,17,22
Roulement de roue (avant),7,7,7,12,7,25,14
Tendeur de courroie de distribution,,,,14,,,
Thermostat,,4,4,4,15,,
Turbo,4,4,4,4,,4,4

[HYUNDAI]
Part,Accent LC,Getz tb,"i10 II Cargo (BA, IA)","i10 III 3/5 portes (AC3, AI3)",i10 III Berline (AI3),I20 Active,I20 Coupe,"i20 III (BC3, BI3)",Tucson Van / SUV (TLE)
Alternateur,3,17,3,7,3,18,18,9,4
Amortisseur (arrière),,8,2,7,8,13,9,2,
Amortisseur (avant),28,16,2,2,8,7,14,8,4
Biellette de barre stabilisatrice,,,10,8,8,30,27,33,15
Bobine d'allumage,,,3,3,7,14,10,3,
Bougie,14,14,7,4,14,27,20,9,7
Bougie de préchauffage,14,14,4,4,4,14,19,,5
Disque de frein (arrière),,,24,9,14,24,20,31,
Disque de frein (avant),25,14,24,13,19,33,23,33,13
Démarreur,,17,6,,,16,17,5,6
Filtre d'habitacle,7,,19,6,6,21,29,33,5
Filtre à air,8,,16,12,22,8,39,43,10
Filtre à carburant,20,8,3,3,3,16,25,,8
Filtre à huile,7,11,22,6,19,59,69,29,37
Injecteur,4,4,4,5,5,7,6,3,4
Joint de culasse,,2,7,4,7,11,11,2,
Kit chaîne de distribution,,10,10,4,4,25,30,,13
Kit d'embrayage,19,33,3,2,5,20,21,2,3
Kit de courroie d'accessoire,4,5,11,4,10,11,33,8,6
Plaquette de frein (arrière),,26,12,9,14,21,19,22,11
Plaquette de frein (avant),23,24,12,9,14,33,29,23,25
Pompe à eau,36,14,14,10,11,25,43,20,10
Radiateur,3,3,7,2,2,21,16,6,
Rotule de direction,39,20,10,10,10,17,21,21,18
Roulement de roue (arrière),,10,5,10,10,5,5,8,
Roulement de roue (avant),21,5,11,9,15,39,41,15,
Sonde lambda (NOx),,7,5,,,18,23,,7
Tendeur de courroie de distribution,,3,,,,,,,
Thermostat,,13,7,5,5,52,53,13,5
Turbo,,11,11,,,3,3,11,

[KIA]
Part,Picanto ba,Picanto JA,Picanto TA,Picanto Van / 3/5 portes,"Rio IV Berline (SC, FB)",Rio UB,Sportage I SUV Cabriolet (FM),Sportage je,Sportage K00,Sportage QL,Sportage SL,Sportage V (NQ5)
Alternateur,23,5,14,4,5,8,4,9,,11,11,7
Amortisseur (arrière),45,13,18,1,4,10,2,,,,,
Amortisseur (avant),23,6,14,1,7,26,4,11,9,10,29,2
Amortisseur avant,,,4,,,,,,,,,
Biellette barre stabilisatrice,,,11,,,,,,,,,
Biellette de barre stabilisatrice,20,10,24,11,15,19,,17,,15,17,
Bobine d'allumage,41,2,16,5,2,2,,,,,,
Bougie,14,6,6,6,9,6,,14,,7,14,
Bougie de préchauffage,14,,4,,5,14,,14,,5,14,
Bougies d'allumage,,,1,,,,,,,,,
Bougies de prechauffage,,,4,,,,,,,,,
Demarreur,,,3,,,,,,,,,
Disque de frein (arrière),35,33,52,12,23,22,,,,,,
Disque de frein (avant),20,40,28,12,18,39,6,15,6,33,40,13
Disques de frein arriere,,,13,,,,,,,,,
Disques de frein avant,,,12,,,,,,,,,
Démarreur,18,6,21,4,3,14,,2,,2,2,2
Filtre a air,,,1,,,,,,,,,
Filtre a carburant,,,15,,,,,,,,,
Filtre d'habitacle,44,44,44,44,10,44,7,11,7,5,7,
Filtre habitacle,,,4,,,,,,,,,
Filtre à air,26,26,28,26,33,8,3,8,8,,8,
Filtre à carburant,15,15,15,15,30,16,4,16,4,16,16,
Filtre à huile,11,11,11,11,17,11,4,44,11,37,37,14
Injecteur,4,4,9,4,4,4,,4,,4,4,
Joint de culasse,11,7,5,4,4,2,,,,,,
Kit chaîne de distribution,10,8,30,1,4,23,,4,,12,11,
Kit d'embrayage,27,6,8,2,12,22,4,26,1,9,13,4
Kit de courroie d'accessoire,7,6,5,6,6,9,,6,,6,6,
Kit de distribution,,,4,,,,,,,,,
Kit embrayage,,,2,,,,,,,,,
Plaquette de frein (arrière),29,31,36,10,16,18,,37,,11,1,30
Plaquette de frein (avant),31,24,12,11,30,33,8,36,14,42,31,25
Plaquettes de frein arriere,,,11,,,,,,,,,
Pompe a eau,,,11,,,,,,,,,
Pompe à eau,55,30,55,10,11,12,1,14,4,17,16,
Radiateur,17,3,14,3,3,3,,3,,,3,
Rotule de direction,10,16,45,9,,23,6,23,6,32,32,4
Roulement de roue (arrière),10,16,16,4,4,5,,,,,,
Roulement de roue (avant),19,15,20,9,34,16,4,39,15,,38,
Sonde lambda (NOx),17,4,28,5,,5,,11,,4,4,
Tendeur de courroie de distribution,12,,3,3,,,,,,,,
Thermostat,13,5,5,5,5,5,,5,,5,5,2
Turbo,11,2,8,4,,11,,,,,,

[PEUGEOT]
Part,206 (2A/C),206 Plus,206 SW,207 CC,207 SW,207 WA WC,208 CC,208 Phase 2,301 Berline,307 3 Portes,307 SW,308 3 Portes,"308 III 3/5 portes BlueHDi (FBYHZL, FBYHZT) 131 CV Diesel 2021 - ... YHZ (DV5RC)",308 III 3/5 portes e-308 (FMZKWZ) 156 CV Électrique 2023 - ... ZKW (ZK02),"308 III 3/5 portes PureTech (FPHNSL, FPHNST) 131 CV Essence 2021 - ... HNS (EB2ADTS)",308 Phase 2,406 Berline,407 Berline,Partner 2
Alternateur,21,14,10,10,10,20,53,17,43,58,10,21,7,5,5,13,28,51,36
Amortisseur (arrière),40,24,23,24,24,24,25,29,,19,19,19,,,,19,,,
Amortisseur (avant),7,7,7,9,9,22,44,37,20,8,7,16,1,1,1,17,12,11,24
Biellette de barre stabilisatrice,24,22,21,21,21,21,21,29,,41,41,41,,,,41,,,41
Bobine d'allumage,28,23,23,23,23,23,,,,25,23,,,,,,,,
Bougie,4,4,4,4,4,4,25,39,11,4,4,11,11,5,11,11,4,11,4
Bougie de préchauffage,4,4,4,10,10,10,14,10,10,,,10,10,,10,10,,10,4
Disque de frein (arrière),44,20,20,10,10,10,10,19,,47,10,40,10,,,28,,6,30
Disque de frein (avant),46,23,14,14,14,26,18,16,15,29,14,16,8,12,8,20,8,21,38
Démarreur,34,31,11,11,11,33,36,31,43,31,11,41,20,11,9,24,28,33,31
Filtre d'habitacle,,,,10,10,10,19,18,,7,7,,,,,,,,
Filtre à air,13,13,13,10,10,10,48,45,10,,,10,10,1,10,10,,,10
Filtre à carburant,30,30,30,30,30,30,60,65,30,30,30,30,30,,30,30,30,30,30
Filtre à huile,22,22,22,22,22,22,88,81,22,22,22,22,22,24,22,22,,22,22
Joint de culasse,22,22,11,11,11,11,4,4,4,21,11,10,,,,10,,10,10
Kit chaîne de distribution,17,7,17,5,10,17,12,11,7,17,10,45,4,4,7,11,,18,12
Kit d'embrayage,37,19,5,9,9,31,29,30,26,49,5,18,3,3,3,28,28,26,30
Kit de courroie d'accessoire,30,26,12,12,12,12,34,44,5,26,12,12,12,9,12,12,4,,4
Plaquette de frein (arrière),15,14,14,28,28,31,38,19,,10,28,38,1,4,,20,,,28
Plaquette de frein (avant),59,29,21,21,21,67,48,23,25,69,21,27,10,10,11,50,30,55,20
Pompe à eau,56,99,7,7,7,25,21,25,15,46,7,50,4,13,22,15,35,15,22
Radiateur,26,26,16,11,11,11,,,,21,10,10,,,,10,,11,10
Rotule de direction,16,16,16,16,16,63,56,53,78,31,16,46,21,16,20,40,29,16,25
Roulement de roue (arrière),59,14,14,40,40,40,40,40,40,40,40,,,,,,,,
Roulement de roue (avant),31,16,3,17,17,48,17,23,10,17,17,36,4,10,10,11,13,7,17
Sonde lambda (NOx),2,,,,,,,,,,,,,,,,,,
Tendeur de courroie de distribution,26,67,16,16,16,16,37,54,37,26,16,10,37,17,37,10,,10,10
Thermostat,51,55,6,14,14,14,21,24,14,31,6,14,14,4,14,14,4,25,14
Turbo,7,7,7,7,7,7,,,,7,7,,,,,,,,

[RENAULT]
Part,Clio 2,Clio 3,Clio 4,Clio 4 Grandtour,Clio 5,Kangoo 1,Kangoo 2,Kangoo 2 Express,"Kangoo 2 Express Z.E. (FW0Z, FW1Z) 60 CV Électrique 2011 - ... 5AM 400",Kangoo Express 1,Kangoo II MPV (FC),Kangoo III Box Body / MPV,Kangoo III MPV Blue dCi (KJAB) 95 CV Diesel 2021 - ... K9K 877,Kangoo III MPV Blue dCi (KJAC) 116 CV Diesel 2021 - ... K9K 877,Kangoo III MPV TCe (KJMB) 131 CV Essence 2021 - ... H5H 490,Kangoo KW,Megane 2,Megane 3,Megane Scenic,Symbol / Thalia II,Symbol / Thalia III (L8),Symbol Thalia
Alternateur,33,12,32,7,7,23,7,7,,43,7,,,,,7,28,33,30,21,17,28
Amortisseur (arrière),8,13,8,11,25,,,,,,,,,,,,,,5,20,25,15
Amortisseur (avant),19,48,14,9,16,14,61,42,,10,5,1,1,1,1,42,16,37,22,39,18,40
Biellette de barre stabilisatrice,11,11,11,11,11,11,11,11,,11,11,,,,,11,11,11,14,23,11,26
Bobine d'allumage,8,8,8,8,8,8,8,8,,8,8,,,,,8,8,8,16,8,8,13
Bougie,4,4,4,30,28,4,4,4,,4,4,9,9,9,9,4,4,4,4,35,26,47
Bougie de préchauffage,4,4,4,17,15,4,4,4,,4,4,9,9,9,9,9,4,11,4,14,20,14
Disque de frein (arrière),20,17,13,13,21,,,,,,,,,,,,13,13,24,16,16,15
Disque de frein (avant),30,49,38,61,67,45,48,31,,28,18,14,1,4,14,8,33,55,32,72,42,48
Démarreur,35,33,24,14,14,18,52,14,1,18,14,15,9,9,9,28,38,52,41,36,14,60
Filtre d'habitacle,17,17,17,39,36,17,17,17,,17,17,,,,,,17,17,17,59,38,61
Filtre à air,13,13,13,27,37,13,13,13,,13,13,,,,,27,27,27,27,65,65,93
Filtre à carburant,13,13,13,41,27,13,13,13,,13,13,19,19,19,19,11,13,43,13,73,77,55
Filtre à huile,28,28,28,74,58,28,28,28,,28,28,15,15,15,15,28,28,28,28,59,72,60
Injecteur,7,7,7,7,7,7,7,7,,7,7,,,,,,7,7,4,7,5,15
Joint de culasse,11,11,11,11,11,11,11,11,,11,11,,,,,11,11,11,6,11,11,20
Kit chaîne de distribution,3,9,8,3,3,3,9,3,,9,3,5,5,5,5,3,7,15,10,9,3,9
Kit d'embrayage,22,25,23,32,21,32,22,13,7,32,11,9,9,9,10,26,47,26,29,33,28,32
Kit de courroie d'accessoire,4,13,8,31,37,4,4,4,,4,4,27,27,27,27,4,4,4,17,37,16,39
Plaquette de frein (arrière),8,25,19,8,32,8,4,4,,4,4,5,5,5,5,,22,33,32,8,8,14
Plaquette de frein (avant),35,51,70,47,62,27,42,23,36,31,11,20,20,20,20,42,48,27,52,48,33,36
Pompe à eau,15,19,26,15,15,20,15,15,,23,15,11,11,11,11,15,28,25,35,26,26,46
Radiateur,6,6,6,6,6,10,10,10,,10,10,,,,,,7,7,10,6,6,23
Rotule de direction,12,9,27,6,6,15,18,22,10,15,6,26,9,26,9,17,11,36,71,35,6,30
Roulement de roue (arrière),14,14,14,14,14,,,,,,,,,,,,14,14,14,16,14,20
Roulement de roue (avant),25,10,7,7,7,7,7,15,11,16,7,,,,10,25,7,28,7,43,31,41
Sonde lambda (NOx),,,,,,,,,,,,,,,,,,,9,,,
Tendeur de courroie de distribution,24,43,44,24,24,24,24,24,,24,24,,,,,24,24,24,7,30,24,52
Thermostat,3,10,10,33,13,3,3,3,,3,3,8,8,8,8,9,3,10,7,75,61,58
Turbo,14,14,14,14,14,14,14,14,,14,14,,,,,14,14,14,,14,14,22

[SEAT]
Part,Ibiza 3
Amortisseur (arrière),9
Amortisseur (avant),13
Bougie,10
Bougie de préchauffage,10
Disque de frein (arrière),7
Disque de frein (avant),30
Filtre d'habitacle,6
Filtre à air,8
Filtre à carburant,30
Filtre à huile,8
Kit chaîne de distribution,18
Kit d'embrayage,19
Kit de courroie d'accessoire,8
Plaquette de frein (arrière),43
Plaquette de frein (avant),24
Rotule de direction,5
Roulement de roue (avant),19
Thermostat,4

[TOYOTA]
Part,Corolla IX Berline (E120),Corolla XII Berline (E210),"Hilux II Pick-up (N20) 1,6 (RN20) 67 CV Essence 1972 - 1978 12R",Hilux III,Hilux IV,Hilux Mk8,Hilux N10,Hilux V Pick-up,Hilux VI Pick-up,Hilux VIII,Yaris 2,Yaris 3,Yaris NCP 15
Alternateur,13,,,5,10,7,1,4,15,,12,17,6
Amortisseur (arrière),,7,,,,5,,,,1,,,
Amortisseur (avant),13,4,5,25,14,13,,10,13,1,25,19,8
Bougie,10,5,,10,,10,,,10,10,,5,
Bougie de préchauffage,10,,,10,,10,,,10,10,,,
Disque de frein (arrière),,17,,,,6,,,,7,,,
Disque de frein (avant),,8,,9,,26,,,,12,24,33,10
Démarreur,6,,,,,,,,,,23,11,5
Filtre d'habitacle,,22,,13,,21,,,,13,,,
Filtre à air,,39,,,,25,,,,12,,,
Filtre à carburant,,4,,5,,19,,,,12,,,
Filtre à huile,12,27,,12,12,25,,12,12,22,12,12,
Kit chaîne de distribution,7,10,,,,4,,,,,24,19,10
Kit d'embrayage,18,2,4,13,9,13,,5,11,4,27,15,8
Kit de courroie d'accessoire,,,,6,,6,,6,6,6,,,
Plaquette de frein (arrière),20,25,,10,10,7,,10,10,8,,,
Plaquette de frein (avant),10,5,5,10,,22,4,10,10,17,41,34,5
Pompe à eau,,4,,46,6,37,,35,35,29,63,47,
Rotule de direction,23,5,7,46,20,24,,20,24,9,48,18,2
Roulement de roue (avant),,,4,4,4,,,4,4,,,10,
Thermostat,12,12,,10,13,11,,23,10,10,25,25,

[VOLKSWAGEN]
Part,Caddy 3 Van,Golf 4,Golf 5,Golf 6,Passat B6,Polo 5,Polo 6,Polo 9N,Polo Vivo,Polo Vivo 3/5 portes
Alternateur,,6,15,38,,14,,46,,
Amortisseur (arrière),,,,,,,18,,,15
Amortisseur (avant),21,14,12,6,41,,27,13,,9
Bougie,,,,,,,26,,,5
Bougie de préchauffage,,,,,,,11,,,
Disque de frein (arrière),,,,,,,25,,,
Disque de frein (avant),15,28,18,18,,43,40,12,15,18
Démarreur,,,10,29,17,15,,4,,
Filtre d'habitacle,,,,,,,15,,12,11
Filtre à air,,,,,,,67,,18,17
Filtre à carburant,,,,,,,54,,16,15
Filtre à huile,,,,,,,71,,12,11
Kit chaîne de distribution,,,20,,1,13,,1,,
Kit d'embrayage,37,44,32,4,30,14,19,38,,4
Kit de courroie d'accessoire,,,,,,,20,,,8
Plaquette de frein (arrière),,4,1,4,,,49,4,8,13
Plaquette de frein (avant),,27,18,,20,44,38,23,18,18
Pompe à eau,,,,27,5,9,,8,,
Rotule de direction,7,4,8,8,5,5,,9,,
Roulement de roue (avant),16,,,,,,,19,,
Thermostat,,,,,,,53,,,6

